stage;question
Prologue;What's one of your favorite 'little things' that you enjoy in life?
Prologue;Which is more important: what you say or how you say it?
Prologue;What qualities do you think are important in a family?
Prologue;What do you think is a simple gesture that screams 'I love you?'
Prologue;Would you rather spend more time with your friends or family?
Prologue;How can someone earn your trust?
Prologue;What is your comfort food?
Prologue;Love or Friendship
Prologue;What matters most to you?
Prologue;If your closed ones triggered you, would you feel comfortable communicating it with them?
Prologue;How do you want people to feel when they are with you?
Prologue;Would you sacrifice your life for someone?
Prologue;How do you like to be comforted when you're upset?
Prologue;What would you do on your first date?
Prologue;What would be your perfect day? Plan it out from waking up to bedtime
Prologue;If you had all the money in the world and didn't have to work for it, what would you do?
Prologue;In what situations do you feel most comfortable sharing your perspective?
Prologue;What qualities do you admire about your parents?
Prologue;What is an instant deal breaker in a potential love interest?
Prologue;What are your biggest pet peeves?
Prologue;What are things you realized while growing up?
Prologue;What do you think are the qualities in finding a good partner?
Prologue;What do people assume about you that isn't true at all?
Prologue;Which would you rather follow, your brain or your heart?
Prologue;What line did you think you would never cross but ended up doing so?
Prologue;What's your favorite thing about yourself?
Prologue;What does success mean to you?
Prologue;What are three things you value most about a person?
Prologue;Would you rather date someone you love or date someone who loves you?
Prologue;Is it better to have loved and lost or to never have loved at all?
Prologue;What are some things most people don't know about you?
Prologue;What do you dislike most in a person?
Prologue;What do you think are requirements for a strong friendship?
Prologue;How would your friend describe you?
Prologue;When do you think a person is ready for marriage?
Past;How honest are you when people ask how you are doing?
Past;What is your best childhood memory?
Past;When was the first time you said 'I love you' to someone in your life besides your family?
Past;What is the best gift you have been given?
Past;What is the biggest lie you have told someone?
Past;What is the best compliment you have ever received?
Past;When is your proudest moment?
Past;What moments or events during your childhood shaped who you are now?
Past;When was the last time you laughed so hard you cried?
Past;What's the worst you've ever been physically hurt?
Past;What is your most memorable family event?
Past;Have you ever lost a friend? If so, what happened?
Past;What are things you thought were right but aren't now?
Past;What has been your biggest challenge in life, and how did you overcome it?
Past;Tell me a short story about your childhood life
Past;Tell me about your worst relationship (love / friendship)
Past;What is your biggest regret?
Past;Who was your very first crush?
Past;When was the last time you cried?
Past;What is the best piece of advice someone has given you?
Past;What have you tolerated from people in the past that you no longer have space for?
Past;What is the biggest lie someone has told you?
Past;What has been the biggest blesing in disguise?
Past;Describe your last love story
Past;What's the luckiest thing that's ever happened to you?
Past;Have you accepted who you really are?
Past;What has been your hardest goodbye in life so far?
Past;What memory instantly makes you smile?
Past;What do you now understand about love that you didn't before?
Past;Tell me a story of someone who you value so much
Past;What was the most memorable experience you had throughout middle school?
Past;Are there any certain memories that you're ashamed of till now?
Past;What is the nicest thing you've ever done for another person?
Past;What were the top three lessons you learned the hard way?
Past;What is the last lie you told?
Present;What keeps you busy these days?
Present;What insecurity of yours holds you back the most?
Present;What would you do if today was your last day?
Present;What do you usually like to do to fight your negative thoughts?
Present;What is the best thing you do to deal with stress?
Present;What kind of person are you?
Present;Who do you most like spending time with and why?
Present;How do you feel most loved?
Present;What have you done for yourself lately?
Present;How are you, really?
Present;How is your relationship with your family members?
Present;Introvert or extrovert?
Present;What is the one thing you would like to change about yourself?
Present;Do you have any friends you would consider family?
Present;How do you recharge?
Present;Has someone else's good habit inspired you to start doing the same?
Present;What impression do you try to give when you first meet someone?
Present;Describe your parents
Present;What is something that really pisses you off?
Present;What would you change about the way you were raised?
Present;What is something that overwhelms you?
Present;Is there anyone who has completely lost your respect?
Present;What is your greatest fear?
Present;If you could ask a single person one question, and they had to answer truthfully, who and what would you ask?
Present;Out of all your family members, who are you closest to?
Present;What do you think is your worst trait?
Present;What is something you enjoy doing that you never get tired of?
Present;Is what you're doing now what you always wanted to do growing up?
Present;Are you currently emotionally avaialble for a relationship?
Present;Are you passionate about what you do right now?
Future;What would your dream house be like?
Future;If you can ask one thing to your future self, what will it be?
Future;Which family members would you want to change your relationship with?
Future;Do you think you have prepared enough for your future?
Future;Where do you want to see yourself in ten years time?
Future;How do you want to be remembered?
Future;What are some challenges you want to challenge yourself?
Future;Are you optimistic or pessimistic about the future? Why?
Future;What is on your bucket list that we can do together this year?
Future;Do you have anyone you want to fix your broken relationship with?
Future;What kind of parent do you want me to be?
Future;What would you plan for your children's future?
Future;What did you learn from our conversation?
Future;Is there anything that I can do to help you be a better person?
Future;What are your worries about the future?
Future;What goals do you want to achieve this year?
Future;If you could see into the future, what's one thing you want to see?
Future;Tell me things about me that I need to improve in the future
Future;What are some backup plans you ahve in mind if what you've planned isn't going your way?
Future;What are some interests or skills you want to develop in the future?
Future;What do you aspire from our future relationship?
Future;What does your ideal life look like?
Future;If you have the power to fast forward time, what are the things you would like to fast forward?
Future;What steps have you planned or taken to achieve your goals?
Future;What do you most look forward to about getting old?
Future;What would you teach your future child if you could only teach them one thing?
Future;Is there anyone that you would like to get to know better in the near future?
Future;What is the one thing you would regret the most if you didn't have the chance to do it before you die?
Future;What are your financial priorities and goals?
Future;What is the one thing you want to let go of this year?
